H<sub>2</sub>/CO<sub>2</sub> ratio,Temperatura del reactor [°C],Longitud del reactor [m],LD ratio del reactor,Fluido de trabajo
4.03470737,369.326337,2.367184294,7.428018658,water
4.03470737,369.326337,2.367184294,7.428018658,water
4.086493496,394.3407239,2.807400245,9.602273261,cyclopentane
4.086493496,394.3407239,2.807400245,9.602273261,cyclopentane
4.339835267,355.6039273,3.719892973,7.173578896,water
4.462105143,332.160917,3.399116017,5.790826811,cyclopentane
4.462105143,332.160917,3.399116017,5.790826811,cyclopentane
4.151059744,363.3407489,5.649053691,9.721281836,water
4.400552767,355.7108037,3.414893117,4.637686395,cyclopentane
4.325817208,372.6467127,5.84102356,9.722821134,water
4.325817208,372.6467127,5.84102356,9.722821134,water
4.522928552,320.1433691,7.053416514,8.81168317,cyclopentane
4.35254005,305.3714363,8.564325923,8.443607734,cyclopentane
4.238976764,295.5574807,6.305429183,4.699101995,cyclopentane
4.238976764,295.5574807,6.305429183,4.699101995,cyclopentane
4.512895677,301.8990628,12.42685105,9.635836705,cyclopentane
4.512895677,301.8990628,12.42685105,9.635836705,cyclopentane
4.016301783,295.6946944,16.03217037,8.367951156,cyclopentane
