Storage efficiency [LHV/Electricity],Climate change [kg CO2-eq./Nm3],Levelized cost of SNG [€/Nm3]
54.90742324,1.644380711,1.695134125
54.90742324,1.644380711,1.695134125
55.46077066,1.650485846,1.792605619
55.46077066,1.650485846,1.792605619
58.162772,1.107445038,1.892810364
58.28423193,1.167834865,2.156099289
58.28423193,1.167834865,2.156099289
58.19236606,1.131976624,2.69936672
58.32855391,1.186412132,2.73152462
58.26612527,1.145406775,2.843830258
58.26612527,1.145406775,2.843830258
58.35914866,1.218071377,4.655325388
58.36377934,1.294233998,7.729099306
58.36589574,1.333562491,9.514681825
58.36589574,1.333562491,9.514681825
58.37854211,1.438312338,14.5413056
58.37854211,1.438312338,14.5413056
58.54357593,1.953511281,36.13753565
