H<sub>2</sub>/CO<sub>2</sub> mole ratio,Reactor Temperature [°C],Reactor length [m],Reactor L/D ratio,Power working fluid
4.451023999,390.0753992,2.589361458,5.364037675,water
4.451023999,390.0753992,2.589361458,5.364037675,water
4.451023999,390.0753992,2.589361458,5.364037675,water
4.451023999,390.0753992,2.589361458,5.364037675,water
4.438294405,397.8995367,2.589361458,5.329182977,cyclopentane
4.451023999,389.8765827,2.621644809,5.364037675,cyclopentane
4.451023999,389.8765827,2.621644809,5.364037675,cyclopentane
4.451023999,389.8765827,2.621644809,5.364037675,cyclopentane
4.451023999,389.8765827,2.621644809,5.364037675,cyclopentane
4.44347836,379.3340381,3.278513001,7.453087227,cyclopentane
4.44347836,379.3340381,3.278513001,7.453087227,cyclopentane
4.44347836,379.3340381,3.278513001,7.453087227,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.278513001,7.409015274,cyclopentane
4.44347836,379.3340381,3.326952193,7.243492561,cyclopentane
4.50629516,343.4695121,3.278513001,5.540132865,cyclopentane
4.506668173,319.4885016,5.838659836,9.267155785,cyclopentane
4.506668173,319.4885016,5.838659836,9.267155785,cyclopentane
4.512959441,319.6406192,6.040363241,9.140545625,cyclopentane
4.512959441,319.6406192,6.040363241,9.140545625,cyclopentane
4.512959441,319.6406192,6.040363241,9.140545625,cyclopentane
4.512925657,316.1544573,6.042164401,9.033989048,cyclopentane
4.512925657,316.1544573,6.042164401,9.033989048,cyclopentane
4.512925657,316.1544573,6.042164401,9.033989048,cyclopentane
4.512925657,316.1544573,6.042164401,9.033989048,cyclopentane
4.512925657,316.1544573,6.042164401,9.033989048,cyclopentane
4.500781491,319.6406192,6.04166954,9.040587738,cyclopentane
4.51782071,315.2413428,5.778165141,7.926005991,cyclopentane
4.51782071,315.2413428,5.778165141,7.926005991,cyclopentane
4.51782071,315.2413428,5.778165141,7.926005991,cyclopentane
4.51782071,319.4988642,5.778185193,7.858095275,cyclopentane
4.51782071,319.4988642,5.778185193,7.858095275,cyclopentane
4.51782071,319.4988642,5.778185193,7.858095275,cyclopentane
4.51782071,319.4988642,5.778185193,7.858095275,cyclopentane
4.51782071,319.4988642,5.778185193,7.858095275,cyclopentane
4.479760813,303.9805962,8.314054811,8.183399168,cyclopentane
4.479721561,303.9805962,8.386774796,8.092101167,cyclopentane
4.412970882,307.7826095,8.583134312,7.428389569,cyclopentane
4.412970882,307.7826095,8.583134312,7.428389569,cyclopentane
4.412970882,307.7826095,8.583134312,7.428389569,cyclopentane
4.023922578,364.717873,7.958144478,5.550650287,cyclopentane
4.023922578,358.807052,7.958144478,5.550650287,cyclopentane
4.023922578,358.807052,7.958144478,5.550650287,cyclopentane
4.023922578,358.807052,7.958144478,5.550650287,cyclopentane
4.023922578,358.807052,7.958144478,5.550650287,cyclopentane
4.023922578,358.807052,7.958144478,5.550650287,cyclopentane
4.023922578,357.8109589,7.958144478,5.550650287,cyclopentane
4.023922578,357.8109589,7.958144478,5.550650287,cyclopentane
4.0238631,344.3982478,8.350109473,5.905499499,cyclopentane
4.030650266,342.1860019,8.21128822,5.550650287,cyclopentane
4.008501255,319.2266614,11.75937676,9.189159459,cyclopentane
4.008501255,319.2266614,11.75937676,9.189159459,cyclopentane
4.008501255,319.2266614,11.75937676,9.189159459,cyclopentane
4.008667482,319.2266614,11.75961027,9.183305142,cyclopentane
4.008667482,319.2266614,11.75961027,9.183305142,cyclopentane
4.008667482,319.2266614,11.75961027,9.183305142,cyclopentane
4.023866765,318.2544966,12.23953296,8.786901767,cyclopentane
4.012830977,312.311668,12.18133698,8.689433698,cyclopentane
4.012830977,312.311668,12.18133698,8.689433698,cyclopentane
4.012830977,312.311668,12.18133698,8.689433698,cyclopentane
4.048238234,317.0975044,12.28300964,6.104441064,cyclopentane
4.048238234,317.0975044,12.28300964,6.104441064,cyclopentane
4.048238234,317.0975044,12.28300964,6.104441064,cyclopentane
4.010461877,285.4898949,16.82702777,7.916933941,cyclopentane
4.010461877,285.4898949,16.82702777,7.916933941,cyclopentane
4.010461877,285.4898949,16.82702777,7.916933941,cyclopentane
4.010461877,285.4898949,16.82702777,7.916933941,cyclopentane
4.010461877,285.4898949,16.82702777,7.916933941,cyclopentane
