Storage efficiency [%],Levelized cost of SNG [€/Nm<sup>3</sup>]
57.95384596,1.518772211
57.95384596,1.518772211
57.95384596,1.518772211
57.95384596,1.518772211
58.25605445,1.623764727
58.27419742,1.641783725
58.27515167,1.642122927
58.27515167,1.642122927
58.27515167,1.642122927
58.29387336,1.656026382
58.29387336,1.656026382
58.29387336,1.656026382
58.29404451,1.663452814
58.29404451,1.663452814
58.29475558,1.663797694
58.29475558,1.663797694
58.29475558,1.663797694
58.29475558,1.663797694
58.29475558,1.663797694
58.29475558,1.663797694
58.29501133,1.72156981
58.34153178,2.129121589
58.35816443,3.065895948
58.35816443,3.065895948
58.35881213,3.30867803
58.35881213,3.30867803
58.35883117,3.308776506
58.36245789,3.357893164
58.36245789,3.357893164
58.36245789,3.357893164
58.36245789,3.357893164
58.36245789,3.357893164
58.36315847,3.35811672
58.36396017,3.629543023
58.36400968,3.629599238
58.36400968,3.629599238
58.37359558,3.663184254
58.37359558,3.663184254
58.37359558,3.663184254
58.37359558,3.663184254
58.37359558,3.663184254
58.37791768,7.422407548
58.41243307,7.68541914
58.47537216,9.293528274
58.47537216,9.293528274
58.47537689,9.293530705
58.49795833,12.262125
58.50533354,12.26324142
58.50533354,12.26324142
58.50533354,12.26324142
58.50542626,12.26340862
58.50542626,12.26340862
58.50639179,12.26348379
58.50639179,12.26348379
58.51854522,12.46016885
58.52278796,13.19805402
58.5407017,14.16062878
58.5407017,14.16062878
58.5407017,14.16062878
58.54087876,14.17472776
58.54088366,14.17493918
58.54088366,14.17493918
58.54309963,16.76658889
58.54751482,16.94798784
58.54751482,16.94798784
58.54751482,16.94798784
58.54755002,30.67413389
58.54755002,30.67413389
58.54755002,30.67413389
58.55862244,44.80049011
58.55862244,44.80049011
58.55862244,44.80049011
58.55862244,44.80049011
58.55862244,44.80049011
