Gasification temperature [°C],Steam ratio,FT temperature [°C],GHSV [cm<sup>3</sup>/h/g<sub>cat</sub>],H<sub>2</sub>/CO ratio
894.740079,1.154489453,225.1899603,1284.904897,2.271659278
893.3913927,1.13673132,245.066247,1401.522552,2.266921915
893.3913927,1.12205943,245.066247,1401.522552,2.266921915
899.9780039,1.112447361,203.9911041,1937.518063,2.220623903
882.3434554,1.110414323,210.2341421,1117.298448,2.268306304
893.2487955,1.190648509,204.7158922,1987.333667,2.404840115
899.9780039,1.112447361,242.8591777,2233.670464,2.220623903
899.9780039,1.112447361,242.5401607,2233.670464,2.220623903
899.9780039,1.112447361,242.5401607,2233.670464,2.220623903
896.670479,1.112433605,245.9999982,2231.433342,2.221407042
895.2174119,1.112447361,242.5401607,2232.369521,2.220623903
895.2174119,1.112447361,240.1155154,2238.154433,2.220623903
894.6401472,1.136705487,204.9329624,2279.365156,2.276548359
862.1700602,1.144761575,216.6583818,1321.18099,2.425784291
854.1394397,1.116856052,205.7137472,1182.746832,2.431491614
854.1394397,1.116856052,205.5520875,1182.746832,2.439013212
892.447271,1.129447261,248.1684464,2944.347893,2.254667054
895.3444519,1.135277835,227.506939,3299.800223,2.270242716
895.3444519,1.134869138,227.2694231,3429.646331,2.270397533
899.8559392,1.112115514,238.5064437,3529.447772,2.219515076
899.8559392,1.112115514,240.9544849,3531.22579,2.226071798
897.6972095,1.112115514,240.9544849,3531.22579,2.226071798
896.1058766,1.1293046,225.9190878,3729.870731,2.271659278
893.2281047,1.190648509,240.2226191,5490.732077,2.411573081
882.2049694,1.190648509,222.8834746,5473.921606,2.425445198
892.7709625,1.122086126,245.066247,5823.56046,2.266921915
871.3326438,1.141119233,239.9401469,5566.383184,2.411940296
871.7761408,1.137417167,242.2331095,5664.345803,2.475469463
867.9313156,1.110515731,238.7447581,5675.142501,2.382444824
854.201343,1.118414115,247.7539449,5579.892584,2.475469463
858.5603441,1.083302312,238.735854,5915.900319,2.381083352
852.9095176,1.08334092,204.9937693,5915.900319,2.381083352
852.9095176,1.07962275,205.7074734,5915.900319,2.386181418
827.8595388,1.034686484,205.9328238,5918.434427,2.44703104
827.7671308,1.034686484,205.9328238,5918.434427,2.44703104
803.2992717,0.927740198,221.64646,5933.077763,2.42482196
804.1317872,0.927626391,221.64646,5950.976882,2.426457728
804.1317872,0.927626391,216.5558657,5965.378088,2.425784883
803.2992717,0.927740198,206.1301977,5985.081816,2.42482196
716.5898764,0.669740222,248.4771052,5973.961249,2.486694669
