Climate change [kg CO2-eq./Nm3],Net Present Value [M€]
-0.01205439,-310.3130095
-0.01113475,-304.8263393
-0.010223192,-303.6304864
-0.00913355,-298.6242784
-0.009126411,-297.2574413
-0.008952632,-281.1049574
-0.006569533,-281.0915264
-0.0065692,-281.090793
-0.006567995,-281.0839146
-0.006527345,-277.482977
-0.0064551,-276.0509575
-0.006399623,-275.7139079
-0.006341284,-272.014705
-0.005879266,-254.2464739
-0.003928331,-245.0639654
-0.003774489,-243.8787713
-0.003533555,-200.5327136
-0.00191402,-168.2092887
-0.001414038,-155.1432679
-0.00024803,-148.6673764
-0.000215909,-148.2320594
-0.000146524,-145.8616301
0.000118405,-127.3634652
0.000137881,-3.718335871
0.00121358,6.112977801
0.004540424,19.16164207
0.00528618,26.59944079
0.006528213,30.40530475
0.007779116,37.03820106
0.008236027,46.26637109
0.010540391,59.70031031
0.011669481,62.175898
0.01196303,62.39186466
0.016567575,86.64259591
0.01658056,86.80845216
0.024023129,107.4086783
0.024078603,107.5743809
0.024233784,107.7674118
0.024530015,108.3397144
0.039224905,123.05372
