Cambio climático [kg CO<sub>2</sub>-eq./kWh],Valor actual neto [M€], Producción de queroseno [GWh]
0.000383195,-303.9744482,616.9604095
0.033257716,-298.4664471,696.4274681
-0.021079321,-293.0284898,523.8953676
0.019055439,-276.6811242,690.7722586
0.018730526,-272.8148134,674.4934832
0.007792741,-270.3033357,632.2970466
0.003726318,-267.777231,623.3830224
-0.002403317,-263.6057034,598.8821515
0.005781168,-263.2330437,580.8296125
0.020532533,-252.6498992,686.5197089
0.01117626,-252.2358429,662.3499449
0.011369803,-252.0492611,674.0335395
-0.004304395,-246.2322775,514.5591991
-0.004090325,-244.5782436,518.8724763
0.009266355,-241.5847519,642.0487715
0.025253684,-239.7701342,673.5971976
0.024965281,-238.4746713,669.9259891
0.001063645,-238.3574028,567.6655938
0.021118697,-237.3155411,663.7547068
0.031128398,-237.0855363,684.9226402
0.033254053,-235.3101867,661.6706738
0.001425503,-234.8706628,561.6610791
0.010270203,-234.7033613,578.9817958
0.015036879,-229.3390186,636.126347
0.016936218,-221.2694089,661.3045999
0.021789952,-220.2254146,646.8834796
0.03331669,-218.5396876,663.7368407
0.024662048,-217.505757,654.7840702
0.012752195,-202.1247282,628.2400581
0.008618055,-198.0880371,490.9295079
0.010812326,-194.9512238,581.5432073
0.019352395,-194.2437795,640.1133315
0.02065506,-190.0293137,631.1462395
0.001753247,-186.2051236,435.4309318
0.024943723,-185.0198998,652.1513179
0.034338335,-183.4201901,628.0286023
0.025189553,-180.773554,622.5202499
0.013304287,-178.8914447,589.4914442
0.018981816,-178.6686454,618.650403
0.023309786,-172.2144391,621.4956138
0.03481408,-167.9799567,628.0157045
0.02353395,-164.5967221,614.1636103
0.010954949,-159.1619369,570.1759601
0.014220135,-157.6842387,606.8289666
0.025065175,-155.4649425,591.767645
0.015754278,-152.0736224,545.3428338
0.012031895,-150.7603898,486.9857537
0.007420374,-144.1309095,398.5968201
0.017840581,-140.182244,454.3488931
0.027313446,-131.8133074,616.6050018
0.027958199,-130.6785476,622.6915432
0.026029814,-129.7767847,566.5985229
0.02793605,-127.9819367,611.2754132
0.022432572,-123.5808913,559.8235247
0.020062317,-121.7923319,542.8714258
0.032884078,-118.5426637,540.336928
0.024820254,-101.9448117,532.5890616
0.020520841,-99.13598737,531.9986692
0.028009453,-97.59692407,538.6486638
0.030116349,-96.27679771,530.7822957
0.02009095,-91.09269318,461.3625522
0.031503121,-88.48428243,508.3102956
0.01558675,-80.86079208,453.6196278
0.016106114,-74.3704447,400.7829692
0.024920876,-68.65063592,418.8078831
0.02737201,-68.15863382,504.1441868
0.013863901,-61.72326174,388.1078427
0.023318892,-59.54097694,414.4569409
0.036511542,-58.04745162,432.749224
0.040555881,-55.84050857,467.2357402
0.008920083,-49.32570888,329.8660063
0.024801777,-46.50650911,403.3635031
0.016232179,-43.74883765,393.6516702
0.038116542,-43.71984385,455.3551655
0.017294449,-39.64910021,365.5320304
0.017430883,-39.20222603,378.1559517
0.034569435,-36.73723438,418.9343407
0.04571091,-33.03963566,429.7797427
0.037235313,-28.7812464,403.6777305
0.012806001,-27.8965587,319.5700491
0.034558664,-23.56506089,389.4336108
0.039365739,-20.73239306,392.976815
0.043500991,-19.32553254,428.2752279
0.032618615,-10.64830949,385.7774456
0.011855789,-9.458245045,298.7978392
0.04215898,-3.402236725,411.8783027
0.022062038,-1.588823372,357.6014582
0.024769799,-0.695698486,315.8825249
0.027577044,2.745424083,373.6545499
0.027784839,3.173421053,311.8168379
0.044418032,3.940106685,396.5397206
0.04482571,10.23131716,394.3174664
0.039686301,21.98341854,390.5542821
0.035521431,25.91775932,357.4583018
0.029216579,31.64370697,325.5296798
0.045859315,36.87867341,347.9915842
0.038535344,41.90012404,323.026961
0.014957184,49.52303247,302.1941362
0.022686327,51.43652162,269.9852416
0.042317751,58.87362006,338.7758265
0.046831027,59.17270095,324.8970163
0.033440103,62.07171844,314.3104211
0.033214209,64.62348041,308.4002152
0.04187847,67.54924437,313.973817
0.043006123,74.62895102,302.7043692
0.036594885,82.81035758,297.7406049
0.034828159,102.931586,281.3089454
0.040552624,106.3905272,299.9316637
